매장명,주소,구
배화여대점,서울 종로구 필운대로1길 35 (필운동),종로구
북촌마을점,서울 종로구 북촌로5길 39 (화동),종로구
삼일빌딩점,서울 종로구 삼일대로15길 13 (관철동),종로구
상명대점,서울 종로구 홍지동,종로구
성균관대점,서울 종로구 성균관로 8 (명륜2가),종로구
숭인점,서울 종로구 숭인동길 6 (숭인동),종로구
신설점,서울 종로구 난계로29길 30 (숭인동),종로구
안국역사점,"서울 종로구 율곡로 지하 62 (안국동, 3호선 안국역)",종로구
종로3가점,서울 종로구 종로 126 (종로3가),종로구
종로4가점,서울 종로구 김상옥로 1 (인의동),종로구
종로5가점,서울 종로구 대학로 33 (효제동),종로구
종로교차로점,서울 종로구 동호로 406-1 (종로5가),종로구
종로구청점,서울 종로구 수송동,종로구
종로삼일대로점,서울 종로구 삼일대로 390-1 (관철동),종로구
종로이화동점,서울 종로구 낙산성곽서1길 10 (이화동),종로구
종로타워점,"서울 종로구 종로 51 (종로2가, 종로타워)",종로구
창덕궁점,서울 종로구 돈화문로 41-1 (묘동),종로구
창신동점,서울 종로구 종로 316-1 (창신동),종로구
창신중앙점,서울 종로구 지봉로 64 (숭인동),종로구
탑골공원점,서울 종로구 낙원동,종로구
혜화동로터리점,서울 종로구 혜화로 3-1 (혜화동),종로구
혜화역점,서울 종로구 창경궁로 258-15 (명륜2가),종로구
IBK본점,"서울 중구 을지로 79 (을지로2가, 기업은행)",중구
광희동점,서울 중구 마른내로 165-1 (광희동1가),중구
다동점,서울 중구 다동길 46 (다동),중구
동국대후문점,"서울 중구 창경궁로 2 (충무로5가, 남경빌딩)",중구
동대문점,서울 중구 을지로43길 38 (을지로6가),중구
동대문팀204점,"서울 중구 마장로 30 (신당동, Team204)",중구
동평화점,서울 중구 청계천로 318 (신당동),중구
명동거리점,"서울 중구 명동8가길 7 (충무로2가, 프리엠상가)",중구
명동역점,서울 중구 퇴계로 103 (충무로1가),중구
명동중앙점,"서울 중구 명동7길 21 (을지로2가, 명동아르누보센텀)",중구
북창동점,서울 중구 남대문로1길 57-1 (태평로2가),중구
서소문점,서울 중구 서소문로11길 8 (서소문동),중구
서울시청점,"서울 중구 세종대로20길 23 (무교동, 원창빌딩)",중구
신당점,서울 중구 다산로35길 11 (신당동),중구
신당중앙점,서울 중구 퇴계로 455 (황학동),중구
오장동점,서울 중구 마른내로 109-1 (오장동),중구
을지로3가점,서울 중구 수표로 45 (저동2가),중구
을지로중앙점,서울 중구 마른내로 49 (인현동1가),중구
정동점,서울 중구 정동길 2-1 (정동),중구
중림브라운스톤점,"서울 중구 청파로 464 (중림동, 브라운스톤서울)",중구
충무로점,서울 중구 퇴계로 188 (필동1가),중구
충무아트홀점,서울 중구 퇴계로 381-1 (신당동),중구
충무필동점,서울 중구 퇴계로 218-5 (필동2가),중구
태평로점,서울 중구 세종대로11길 26 (서소문동),중구
퇴계로2길점,서울 중구 퇴계로2길 1 (남창동),중구
한국은행점,서울 중구 남대문로 29-2 (남대문로3가),중구
회현SK리더스점,"서울 중구 퇴계로 72 (회현동1가, 리더스뷰남산)",중구
강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)",강동구
강동구청점,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)",강동구
강동성내점,서울 강동구 풍성로 162 (성내동),강동구
강동역점,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)",강동구
고덕강일2지구점,서울 강동구 아리수로93나길 76 (강일동),강동구
고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동),강동구
고덕점,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)",강동구
굽은다리역점,서울 강동구 양재대로 1543 (천호동),강동구
길동사거리점,서울 강동구 천호대로 1132 (성내동),강동구
길동역점,서울 강동구 양재대로 1471 (길동),강동구
길동중앙점,서울 강동구 명일로 200 (길동),강동구
둔촌점,서울 강동구 양재대로 1377 (성내동),강동구
명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)",강동구
명일중앙점,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)",강동구
보훈병원점,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)",강동구
상일리엔파크점,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)",강동구
암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)",강동구
올림픽북문점,서울 강동구 성안로 7 (성내동),강동구
천호1동점,"서울 강동구 구천면로34길 43 (천호동, 헤리티지)",강동구
천호로데오점,서울 강동구 천호대로 1027 (천호동),강동구
천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)",강동구
천호초교사거리점,"서울 강동구 구천면로 304 (천호동, 일주빌딩)",강동구
천호현대점,서울 강동구 올림픽로 665 (천호동),강동구
개봉북부점,서울 구로구 경인로40길 12 (개봉동),구로구
개봉역점,서울 구로구 남부순환로97길 11 (개봉동),구로구
개봉현대점,서울 구로구 개봉로 69 (개봉동),구로구
고척사거리점,"서울 구로구 고척로 228-6 (고척동, 종만빌딩)",구로구
고척스카이돔점,"서울 구로구 경인로 397 (고척동, 골든타워빌딩)",구로구
구로NC점,서울 구로구 구로동로 240 (구로동),구로구
구로구청점,"서울 구로구 가마산로25길 9 (구로동, 네오팰리스)",구로구
구로궁동점,서울 구로구 오리로 1304 (궁동) 1층,구로구
구로미성점,"서울 구로구 구로중앙로 228 (신도림동, 기임빌딩)",구로구
구로역광장점,"서울 구로구 경인로 572 (구로동, 스타팰리스)",구로구
구로이마트점,서울 구로구 디지털로32길 43 (구로동),구로구
구로코레일점,"서울 구로구 구로중앙로 174 (구로동, 구로역)",구로구
구로하버라인점,"서울 구로구 항동로3길 6 (항동, 가온 프라자)",구로구
구일역점,"서울 구로구 구일로 110 (구로동, 해원리버파크)",구로구
남구로역점,서울 구로구 디지털로27길 127 (가리봉동),구로구
성공회대점,서울 구로구 연동로 312 (항동),구로구
신도림메르디앙점,"서울 구로구 신도림로 65 (신도림동, 신도림월드메르디앙오피스텔)",구로구
신도림테크노마트점,서울 구로구 새말로 97 (구로동),구로구
오류북부역점,서울 구로구 경인로20길 6 (오류동),구로구
천왕이펜하우스점,서울 구로구 천왕로 36 (천왕동),구로구
경희대점,서울 동대문구 경희대로 4 (회기동),동대문구
경희대캠퍼스점,"서울 동대문구 경희대로 26 (회기동, 경희대학교,경희초,중,고,여자중고등학교)",동대문구
답십리사거리점,서울 동대문구 답십리로 145 (답십리동),동대문구
답십리파크자이점,"서울 동대문구 한천로 55 (답십리동, 영진빌딩)",동대문구
동대문구청점,서울 동대문구 천호대로 153-1 (용두동),동대문구
동부병원사거리점,서울 동대문구 무학로 104 (용두동),동대문구
배봉초교사거리점,서울 동대문구 답십리로63길 131 (장안동),동대문구
서울시립대점,"서울 동대문구 서울시립대로 164 (전농동, 도석프라자)",동대문구
신설동역점,서울 동대문구 천호대로 11-3 (신설동),동대문구
용두동사거리점,서울 동대문구 왕산로 68 (용두동),동대문구
용두동점,서울 동대문구 고산자로 413-1 (용두동),동대문구
이문점,서울 동대문구 신이문로 19 (이문동),동대문구
장안동사거리점,서울 동대문구 답십리로 309 (장안동),동대문구
장안동점,서울 동대문구 장한로 43 (장안동),동대문구
장안중랑천점,서울 동대문구 장한로18길 32 (장안동),동대문구
장안중앙점,서울 동대문구 사가정로25길 42 (장안동),동대문구
장한평군자초교점,서울 동대문구 한천로2길 53 (장안동),동대문구
전농사거리점,서울 동대문구 사가정로 132 (전농동),동대문구
청량리점,서울 동대문구 왕산로 225 (청량리동),동대문구
촬영소사거리점,서울 동대문구 답십리로 264 (장안동),동대문구
회기역중앙점,서울 동대문구 회기로 194-1 (휘경동),동대문구
논골사거리점,서울 성동구 난계로 35 (금호동1가),성동구
마장동점,서울 성동구 고산자로 339-2 (마장동),성동구
마장역점,서울 성동구 마장로 293-1 (마장동),성동구
상왕십리역점,서울 성동구 무학봉15길 27 (하왕십리동),성동구
성동구청점,서울 성동구 고산자로 269 (도선동),성동구
성수2가점,서울 성동구 성덕정길 106 (성수동2가),성동구
성수아카데미점,서울 성동구 성수이로 118 (성수동2가),성동구
성수우리W타워점,서울 성동구 아차산로15길 19 (성수동2가),성동구
성수중앙점,"서울 성동구 성수일로6길 47 (성수동2가, 현성빌딩)",성동구
신금호역점,서울 성동구 금호산길 64 (금호동2가),성동구
옥수동점,서울 성동구 매봉길 12 (옥수동),성동구
왕십리비트플렉스점,서울 성동구 왕십리광장로 17 (행당동),성동구
왕십리센트라스점,서울 성동구 무학로 22 (홍익동),성동구
왕십리역점,서울 성동구 왕십리로 309 (행당동),성동구
응봉동점,"서울 성동구 독서당로 381 (응봉동, 현대종합상가)",성동구
텐즈힐점,"서울 성동구 무학로 33 (하왕십리동, 텐즈힐)",성동구
IBK고객센터점,"서울 용산구 한남대로 72 (한남동, IBK기업은행고객센터)",용산구
동부이촌동점,서울 용산구 이촌로77길 19 (이촌동),용산구
동자동점,서울 용산구 후암로 93 (동자동),용산구
삼각지점,서울 용산구 한강대로 138 (한강로2가),용산구
숙대입구역점,서울 용산구 한강대로 289 (갈월동),용산구
순천향병원점,서울 용산구 대사관로 72,용산구
용문점,서울 용산구 원효로41길 73 (원효로2가),용산구
용산원효점,"서울 용산구 원효로 70 (원효로4가, 신정빌딩)",용산구
용산청파점,"서울 용산구 청파로71길 10 (청파동1가, 새마을금고)",용산구
용산효창점,서울 용산구 효창원로66길 2 (효창동),용산구
원효로점,서울 용산구 원효로 257 (원효로1가),용산구
금란망우점,서울 중랑구 망우로 460 (망우동),중랑구
동원사거리점,"서울 중랑구 겸재로 240 (면목동, 행복오피스텔)",중랑구
망우동점,서울 중랑구 망우로 416 (망우동),중랑구
망우중앙점,"서울 중랑구 용마산로115길 109 (망우동, 한일써너스빌리젠시2단지)",중랑구
망우코레일점,"서울 중랑구 망우로55길 11-10 (상봉동, 망우역)",중랑구
먹골역점,서울 중랑구 동일로157길 13 (묵동),중랑구
면목경남아너스빌점,서울 중랑구 면목로27길 92 (면목동),중랑구
면목늘찬병원점,"서울 중랑구 동일로 643 (면목동, 늘찬병원)",중랑구
면목역점,"서울 중랑구 면목로 429 (면목동, 킴스아파트)",중랑구
봉화산역점,서울 중랑구 신내로 211 (신내동),중랑구
사가정아이파크점,"서울 중랑구 동일로92길 57 (면목동, 메디포레)",중랑구
사가정역점,서울 중랑구 면목로 325 (면목동),중랑구
상봉엠코점,"서울 중랑구 망우로 353 (상봉동, 상봉 프레미어스 엠코)",중랑구
상봉역점,서울 중랑구 망우로 277 (상봉동),중랑구
상봉중앙점,서울 중랑구 망우로 316 (상봉동),중랑구
서울상봉1동점,서울 중랑구 상봉중앙로 36 (상봉동),중랑구
서울중화초등학교점,"서울 중랑구 신내로7가길 7 (신내동, 제이리옴)",중랑구
서일중앙점,"서울 중랑구 용마산로 394 (면목동, 해동검도)",중랑구
신내동점,서울 중랑구 봉화산로 215 (신내동),중랑구
양원역점,서울 중랑구 양원역로14가길 24 (망우동),중랑구
중랑교차로점,서울 중랑구 동일로 683 (면목동),중랑구
중랑묵동점,서울 중랑구 공릉로 42 (묵동),중랑구
중랑역점,서울 중랑구 망우로 198 (상봉동),중랑구
중화동점,서울 중랑구 동일로129길 1 (중화동),중랑구
화랑대역점,"서울 중랑구 신내로25가길 2 (묵동, 현동학당)",중랑구
